2025-05-27 14:14:49,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:54,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:14:58,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:02,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:05,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:08,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:10,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:13,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:21,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:15:25,AGEC10S25021500001,mes NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 14:33:10,AGEC10S25021500001,NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:34:36,AGEC10S25021500001,OK,PASS,23mA,8mA-48mA,PASS,-21mA,-48mA--8mA,PASS,79mA,50mA-800mA,PASS,272mA,161mA-483mA,PASS,190mA,161mA-483mA,PASS,OK,-,PASS,OK,-
2025-05-27 15:34:57,AGEC10S25021500001,NG,NG,0mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:35:27,AGEC10S25021500001,NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:35:30,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:35:35,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:35:56,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:36:01,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:36:06,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 15:36:13,AGEC10S25021500001,mes NG,PASS,23mA,8mA-48mA,NG,0mA,-48mA--8mA,未测试,未测试,50mA-800mA,未测试,未测试,161mA-483mA,未测试,未测试,161mA-483mA,未测试,未测试,-,PASS,OK,-
2025-05-27 16:04:01,AGEC10S25021500001,OK,PASS,24mA,8mA-48mA,PASS,-21mA,-48mA--8mA,PASS,72mA,50mA-800mA,PASS,277mA,161mA-483mA,PASS,197mA,161mA-483mA,PASS,OK,-,PASS,OK,-
